name,Usual size in fish tanks,pH,dGH,Temp,Years,Food
Goldfish,16-20 cm (6.3-7.87 inch),6 - 8,4 - 18°N (71.43-321.43ppm),15 - 24°C (59-75.2°F),10 - 15,"The food for Goldfish needs to be low in protein but high in carbo-hydrates, this is why it is often best to use specialist goldfish flakes or pellets to feed this fish. It is a voracious eater so the feeds should be kept down to what the fish can eat in two minutes. This should be done twice daily. Shelled peas, some blanched leaf vegetables and bloodworms should also be included in the diet. Goldfish, like most fish will always give you the impression that they are hungry. Do not be tempted to overfeed, this will lead to digestive problems in the future."
Akar betta,10 - 14 cm (3.94 - 5.51 inch),5.5 - 6.8,10 - 16°N (178.57 - 285.71ppm),22 - 28°C (71.6 - 82.4°F),2 - 3,"Akar bettas should accept all foods offered. Quality flake should be given along with treats of small live of frozen foods. Cyclops, daphnia, and brine shrimp are ideal for this."
Betta baluga,9 - 14 cm (3.54 - 5.51 inch),5.2 - 7,8 - 16°N (142.86 - 285.71ppm),21 - 27°C (69.8 - 80.6°F),2 - 3,"Quality flake should be used for the staple diet. Betta balunga will also require live or frozen foods, blood worms, daphnia and white worms are ideal."
Guppy,4 - 6 cm (1.57 - 2.36 inches),7.0 - 8,12 - 18°N (214.29 - 321.43ppm),19 - 29°C (66.2 - 84.2°F),2,"They’ll eat almost anything that fits into their mouths. In addition these fish will try to eat everything you give them until they almost explode, so don’t overfeed them, even if they give you the hungry eyes look. Guppies have small stomachs, so feeding them two times a day with a small amount of food is a good idea, however feeding once a day is OK too. You can offer them small flakes, small granules and they love frozen food like bloodworms, tubifex, artemias and so on. Sufficient amount of food is everything that they can eat within 2 or 3 minutes. If even after this time there is food floating around, you are overfeeding them."
Angelfish,5 - 6 cm (1.97 - 2.36 inch),6.2 - 7.8,6 - 16°N (107.14 - 285.71ppm),21 - 26°C (69.8 - 78.8°F),5 - 10,Pterophyllum leopoldi will are voracious eaters and will accept anything offered. They should be given quality flake or pellets as well as live or frozen foods.
Porthole catfish,8 - 10 cm (3.15 - 3.94 inch),5.8 - 7.8,2 - 20°N (35.71 - 357.14ppm),24 - 28°C (75.2 - 82.4°F),10,"Porthole catfish will accept all foods. Quality flake should be used for the staple diet, algae wafers and shrimp pellets are also readily accepted. A treat of blood worms will condition this fish."
South american molly,3 - 4 cm (1.18 - 1.57 inch),6.9 - 7.5,8 - 19°N (142.86 - 339.29ppm),25 - 30°C (77 - 86°F),4 - 6,South american mollies will accept all foods offered. Use a quality flake for the staple diet but supplement this with spirulina flake and algae wafers. They will also accept treats of live or frozen foods twice a week.
Neon tetra,3 - 4 cm (1.18 - 1.57 inch),5.5 - 5.5,0 - 18°N (0 - 321.43ppm),20 - 25°C (68 - 77°F),5 - 8,"This tetra accepts nearly all kinds of food. Flakes, live food, granules, frozen food are fine. To get the best colouration from the Neon Tetra make sure that you do vary their diet, use high quality flakes and give them regular meals of meaty foods such as brine shrimp or daphnia."
Platy fish,5 - 8 cm (1.97 - 3.15 inch),7 - 8.3,12 - 18°N (214.29 - 321.43ppm),20 - 26°C (68 - 78.8°F),0.5 - 3,"Platy will eat almost anything that fits into its mouth. Give them high quality flakes, granules and from time to time frozen or live food like daphnia, bloodworms or brine shrimp to achieve the best health and brightest colouration."
Swordtail,10 - 12 cm (3.94 - 4.72 inch),7.0 - 8,12 - 18°N (214.29 - 321.43ppm),21 - 28°C (69.8 - 82.4°F),3 - 4,"Granules and flakes. You can feed Swordtails worms sometimes. If feed properly, males are nicely coloured. However, Swordtails lose colours if other fish harass them."
